2018-04-14 11:11:17,403 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1_2/model_epoch24.ckpt
2018-04-14 11:14:32,586 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1_2/model_epoch49.ckpt
2018-04-14 11:23:20,005 INFO Train Epoch 1, Batch 71000 - 72000: RMSE = 1.1400543451309204
2018-04-14 11:23:22,633 INFO Train Epoch 1, Batch 72000 - 73000: RMSE = 1.164153814315796
2018-04-14 11:23:25,303 INFO Train Epoch 1, Batch 73000 - 74000: RMSE = 1.1472283601760864
2018-04-14 11:23:27,963 INFO Train Epoch 1, Batch 74000 - 75000: RMSE = 1.1966806650161743
2018-04-14 11:23:30,635 INFO Train Epoch 1, Batch 75000 - 76000: RMSE = 1.1213229894638062
2018-04-14 11:23:33,298 INFO Train Epoch 1, Batch 76000 - 77000: RMSE = 1.1107865571975708
2018-04-14 11:23:35,970 INFO Train Epoch 1, Batch 77000 - 78000: RMSE = 1.105230450630188
2018-04-14 11:23:38,647 INFO Train Epoch 1, Batch 78000 - 79000: RMSE = 1.0460762977600098
2018-04-14 11:23:41,313 INFO Train Epoch 1, Batch 79000 - 80000: RMSE = 1.0852106809616089
2018-04-14 11:23:43,982 INFO Train Epoch 1, Batch 80000 - 81000: RMSE = 1.0906388759613037
2018-04-14 11:23:46,654 INFO Train Epoch 1, Batch 81000 - 82000: RMSE = 1.0391180515289307
2018-04-14 11:23:49,327 INFO Train Epoch 1, Batch 82000 - 83000: RMSE = 1.0821696519851685
2018-04-14 11:23:51,969 INFO Train Epoch 1, Batch 83000 - 84000: RMSE = 1.0300549268722534
2018-04-14 11:23:54,631 INFO Train Epoch 1, Batch 84000 - 85000: RMSE = 1.062113642692566
2018-04-14 11:23:57,286 INFO Train Epoch 1, Batch 85000 - 86000: RMSE = 1.033312439918518
2018-04-14 11:23:59,949 INFO Train Epoch 1, Batch 86000 - 87000: RMSE = 1.0405949354171753
2018-04-14 11:24:02,604 INFO Train Epoch 1, Batch 87000 - 88000: RMSE = 1.0368213653564453
2018-04-14 11:24:05,275 INFO Train Epoch 1, Batch 88000 - 89000: RMSE = 1.0188921689987183
2018-04-14 11:24:07,954 INFO Train Epoch 1, Batch 89000 - 90000: RMSE = 1.043830156326294
2018-04-14 11:24:10,621 INFO Train Epoch 1, Batch 90000 - 91000: RMSE = 1.057574987411499
2018-04-14 11:24:13,271 INFO Train Epoch 1, Batch 91000 - 92000: RMSE = 1.0168657302856445
2018-04-14 11:24:15,909 INFO Train Epoch 1, Batch 92000 - 93000: RMSE = 1.0545443296432495
2018-04-14 11:24:18,571 INFO Train Epoch 1, Batch 93000 - 94000: RMSE = 1.04641592502594
2018-04-14 11:24:21,229 INFO Train Epoch 1, Batch 94000 - 95000: RMSE = 1.0814323425292969
2018-04-14 11:24:23,884 INFO Train Epoch 1, Batch 95000 - 96000: RMSE = 0.977672278881073
2018-04-14 11:24:26,541 INFO Train Epoch 1, Batch 96000 - 97000: RMSE = 1.0592583417892456
2018-04-14 11:24:29,211 INFO Train Epoch 1, Batch 97000 - 98000: RMSE = 0.9949638247489929
2018-04-14 11:24:31,868 INFO Train Epoch 1, Batch 98000 - 99000: RMSE = 1.0372815132141113
2018-04-14 11:24:34,508 INFO Train Epoch 1, Batch 99000 - 100000: RMSE = 1.039961814880371
2018-04-14 11:24:37,163 INFO Train Epoch 1, Batch 100000 - 101000: RMSE = 1.0224754810333252
2018-04-14 11:24:39,817 INFO Train Epoch 1, Batch 101000 - 102000: RMSE = 1.0093199014663696
2018-04-14 11:24:42,484 INFO Train Epoch 1, Batch 102000 - 103000: RMSE = 1.0355587005615234
2018-04-14 11:24:45,144 INFO Train Epoch 1, Batch 103000 - 104000: RMSE = 0.9895569086074829
2018-04-14 11:24:47,808 INFO Train Epoch 1, Batch 104000 - 105000: RMSE = 1.0626848936080933
2018-04-14 11:24:50,462 INFO Train Epoch 1, Batch 105000 - 106000: RMSE = 1.041142463684082
2018-04-14 11:24:53,113 INFO Train Epoch 1, Batch 106000 - 107000: RMSE = 1.0101972818374634
2018-04-14 11:24:55,758 INFO Train Epoch 1, Batch 107000 - 108000: RMSE = 0.9922808408737183
2018-04-14 11:24:58,422 INFO Train Epoch 1, Batch 108000 - 109000: RMSE = 1.010045051574707
2018-04-14 11:25:01,071 INFO Train Epoch 1, Batch 109000 - 110000: RMSE = 1.0834715366363525
2018-04-14 11:25:03,740 INFO Train Epoch 1, Batch 110000 - 111000: RMSE = 1.1374162435531616
2018-04-14 11:25:06,394 INFO Train Epoch 1, Batch 111000 - 112000: RMSE = 1.0483627319335938
2018-04-14 11:25:09,021 INFO Train Epoch 1, Batch 112000 - 113000: RMSE = 1.1236363649368286
2018-04-14 11:25:11,677 INFO Train Epoch 1, Batch 113000 - 114000: RMSE = 1.065236210823059
2018-04-14 11:25:14,330 INFO Train Epoch 1, Batch 114000 - 115000: RMSE = 1.1471160650253296
2018-04-14 11:25:16,997 INFO Train Epoch 1, Batch 115000 - 116000: RMSE = 1.064508318901062
2018-04-14 11:25:19,652 INFO Train Epoch 1, Batch 116000 - 117000: RMSE = 1.1238662004470825
2018-04-14 11:25:22,295 INFO Train Epoch 1, Batch 117000 - 118000: RMSE = 1.0280345678329468
2018-04-14 11:25:24,935 INFO Train Epoch 1, Batch 118000 - 119000: RMSE = 1.0689091682434082
2018-04-14 11:25:27,577 INFO Train Epoch 1, Batch 119000 - 120000: RMSE = 1.1026898622512817
2018-04-14 11:25:30,241 INFO Train Epoch 1, Batch 120000 - 121000: RMSE = 1.0839146375656128
2018-04-14 11:25:32,900 INFO Train Epoch 1, Batch 121000 - 122000: RMSE = 1.0456795692443848
2018-04-14 11:25:33,823 INFO Train Epoch 1, Batch 122000 - 122358: RMSE = 1.197591781616211
2018-04-14 11:25:38,810 INFO Eval Epoch 1, Batch 0 - 1000: RMSE = 1.208079136561555
2018-04-14 11:25:41,484 INFO Train Epoch 2, Batch 0 - 1000: RMSE = 1.0612174272537231
2018-04-14 11:25:44,132 INFO Train Epoch 2, Batch 1000 - 2000: RMSE = 1.135964035987854
