2018-05-16 07:39:12,509 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1_4/model_epoch24.ckpt
2018-05-16 07:45:34,735 INFO Train Epoch 0, Batch 34500 - 34750: RMSE = 0.884509265422821
2018-05-16 07:45:37,404 INFO Train Epoch 0, Batch 34750 - 35000: RMSE = 0.8386638164520264
2018-05-16 07:45:40,061 INFO Train Epoch 0, Batch 35000 - 35250: RMSE = 0.8460841774940491
2018-05-16 07:45:42,733 INFO Train Epoch 0, Batch 35250 - 35500: RMSE = 0.8083727955818176
2018-05-16 07:45:45,403 INFO Train Epoch 0, Batch 35500 - 35750: RMSE = 0.8509182929992676
2018-05-16 07:45:48,127 INFO Train Epoch 0, Batch 35750 - 36000: RMSE = 0.9059356451034546
2018-05-16 07:45:50,824 INFO Train Epoch 0, Batch 36000 - 36250: RMSE = 0.8057344555854797
2018-05-16 07:45:53,495 INFO Train Epoch 0, Batch 36250 - 36500: RMSE = 0.7577296495437622
2018-05-16 07:45:56,173 INFO Train Epoch 0, Batch 36500 - 36750: RMSE = 0.846045196056366
2018-05-16 07:45:58,830 INFO Train Epoch 0, Batch 36750 - 37000: RMSE = 0.8712455630302429
2018-05-16 07:46:01,553 INFO Train Epoch 0, Batch 37000 - 37250: RMSE = 0.8702893853187561
2018-05-16 07:46:04,207 INFO Train Epoch 0, Batch 37250 - 37500: RMSE = 0.7782492637634277
2018-05-16 07:46:06,910 INFO Train Epoch 0, Batch 37500 - 37750: RMSE = 0.8209694027900696
2018-05-16 07:46:09,598 INFO Train Epoch 0, Batch 37750 - 38000: RMSE = 0.7815836071968079
2018-05-16 07:46:12,274 INFO Train Epoch 0, Batch 38000 - 38250: RMSE = 0.871075451374054
2018-05-16 07:46:14,980 INFO Train Epoch 0, Batch 38250 - 38500: RMSE = 0.8249844908714294
2018-05-16 07:46:17,665 INFO Train Epoch 0, Batch 38500 - 38750: RMSE = 0.8425408005714417
2018-05-16 07:46:20,356 INFO Train Epoch 0, Batch 38750 - 39000: RMSE = 0.8432924747467041
2018-05-16 07:46:23,038 INFO Train Epoch 0, Batch 39000 - 39250: RMSE = 0.7785879373550415
2018-05-16 07:46:25,701 INFO Train Epoch 0, Batch 39250 - 39500: RMSE = 0.9607856273651123
2018-05-16 07:46:28,398 INFO Train Epoch 0, Batch 39500 - 39750: RMSE = 0.9016370177268982
2018-05-16 07:46:31,071 INFO Train Epoch 0, Batch 39750 - 40000: RMSE = 0.8333073258399963
2018-05-16 07:46:33,764 INFO Train Epoch 0, Batch 40000 - 40250: RMSE = 0.796394407749176
2018-05-16 07:46:36,459 INFO Train Epoch 0, Batch 40250 - 40500: RMSE = 0.9295905828475952
2018-05-16 07:46:39,134 INFO Train Epoch 0, Batch 40500 - 40750: RMSE = 0.841894805431366
2018-05-16 07:46:41,818 INFO Train Epoch 0, Batch 40750 - 41000: RMSE = 0.9022393226623535
2018-05-16 07:46:44,473 INFO Train Epoch 0, Batch 41000 - 41250: RMSE = 0.896522581577301
2018-05-16 07:46:47,173 INFO Train Epoch 0, Batch 41250 - 41500: RMSE = 0.8892232775688171
2018-05-16 07:46:49,831 INFO Train Epoch 0, Batch 41500 - 41750: RMSE = 0.7999091148376465
2018-05-16 07:46:52,527 INFO Train Epoch 0, Batch 41750 - 42000: RMSE = 0.8212421536445618
2018-05-16 07:46:55,192 INFO Train Epoch 0, Batch 42000 - 42250: RMSE = 0.8595250248908997
2018-05-16 07:46:57,884 INFO Train Epoch 0, Batch 42250 - 42500: RMSE = 0.8759433031082153
2018-05-16 07:47:00,575 INFO Train Epoch 0, Batch 42500 - 42750: RMSE = 0.8690094947814941
2018-05-16 07:47:03,265 INFO Train Epoch 0, Batch 42750 - 43000: RMSE = 0.8432033061981201
2018-05-16 07:47:05,988 INFO Train Epoch 0, Batch 43000 - 43250: RMSE = 0.8743201494216919
