2018-04-11 14:31:27,122 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1/model_epoch49.ckpt
2018-04-11 14:41:09,444 INFO Train Epoch 1, Batch 94000 - 95000: RMSE = 1.0734508037567139
2018-04-11 14:41:12,076 INFO Train Epoch 1, Batch 95000 - 96000: RMSE = 1.0037522315979004
2018-04-11 14:41:14,715 INFO Train Epoch 1, Batch 96000 - 97000: RMSE = 1.037583351135254
2018-04-11 14:41:17,334 INFO Train Epoch 1, Batch 97000 - 98000: RMSE = 1.0471076965332031
2018-04-11 14:41:19,953 INFO Train Epoch 1, Batch 98000 - 99000: RMSE = 1.0325039625167847
2018-04-11 14:41:22,575 INFO Train Epoch 1, Batch 99000 - 100000: RMSE = 1.0619972944259644
2018-04-11 14:41:25,193 INFO Train Epoch 1, Batch 100000 - 101000: RMSE = 1.0303726196289062
2018-04-11 14:41:27,817 INFO Train Epoch 1, Batch 101000 - 102000: RMSE = 1.0282803773880005
2018-04-11 14:41:30,454 INFO Train Epoch 1, Batch 102000 - 103000: RMSE = 1.065082311630249
2018-04-11 14:41:33,078 INFO Train Epoch 1, Batch 103000 - 104000: RMSE = 1.0069787502288818
2018-04-11 14:41:35,705 INFO Train Epoch 1, Batch 104000 - 105000: RMSE = 1.0691121816635132
2018-04-11 14:41:38,323 INFO Train Epoch 1, Batch 105000 - 106000: RMSE = 1.0600208044052124
2018-04-11 14:41:40,946 INFO Train Epoch 1, Batch 106000 - 107000: RMSE = 1.046930193901062
2018-04-11 14:41:43,575 INFO Train Epoch 1, Batch 107000 - 108000: RMSE = 0.9999248385429382
2018-04-11 14:41:46,212 INFO Train Epoch 1, Batch 108000 - 109000: RMSE = 1.0330383777618408
2018-04-11 14:41:48,829 INFO Train Epoch 1, Batch 109000 - 110000: RMSE = 1.0348159074783325
2018-04-11 14:41:51,460 INFO Train Epoch 1, Batch 110000 - 111000: RMSE = 1.0438798666000366
2018-04-11 14:41:54,091 INFO Train Epoch 1, Batch 111000 - 112000: RMSE = 1.060390830039978
2018-04-11 14:41:56,705 INFO Train Epoch 1, Batch 112000 - 113000: RMSE = 1.0553615093231201
2018-04-11 14:41:59,332 INFO Train Epoch 1, Batch 113000 - 114000: RMSE = 1.0496958494186401
2018-04-11 14:42:01,969 INFO Train Epoch 1, Batch 114000 - 115000: RMSE = 1.0671586990356445
2018-04-11 14:42:04,583 INFO Train Epoch 1, Batch 115000 - 116000: RMSE = 1.0342625379562378
2018-04-11 14:42:07,207 INFO Train Epoch 1, Batch 116000 - 117000: RMSE = 1.036820888519287
2018-04-11 14:42:09,818 INFO Train Epoch 1, Batch 117000 - 118000: RMSE = 0.9954728484153748
2018-04-11 14:42:12,459 INFO Train Epoch 1, Batch 118000 - 119000: RMSE = 1.0329548120498657
2018-04-11 14:42:15,077 INFO Train Epoch 1, Batch 119000 - 120000: RMSE = 1.0486152172088623
