2018-04-09 14:22:53,947 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1/model_epoch49.ckpt
2018-04-09 14:45:50,816 INFO Train Epoch 1, Batch 0 - 1000: RMSE = 0.892493486404419
2018-04-09 14:46:02,025 INFO Train Epoch 1, Batch 1000 - 2000: RMSE = 0.8896986246109009
2018-04-09 14:46:13,273 INFO Train Epoch 1, Batch 2000 - 3000: RMSE = 0.8693458437919617
2018-04-09 14:46:24,556 INFO Train Epoch 1, Batch 3000 - 4000: RMSE = 0.8765069842338562
2018-04-09 14:46:35,796 INFO Train Epoch 1, Batch 4000 - 5000: RMSE = 0.8419011235237122
2018-04-09 14:46:47,073 INFO Train Epoch 1, Batch 5000 - 6000: RMSE = 0.8734044432640076
2018-04-09 14:46:58,347 INFO Train Epoch 1, Batch 6000 - 7000: RMSE = 0.8280318975448608
2018-04-09 14:47:09,607 INFO Train Epoch 1, Batch 7000 - 8000: RMSE = 0.8796390891075134
2018-04-09 14:47:20,814 INFO Train Epoch 1, Batch 8000 - 9000: RMSE = 0.8724619150161743
2018-04-09 14:47:32,020 INFO Train Epoch 1, Batch 9000 - 10000: RMSE = 0.8792244791984558
2018-04-09 14:47:43,234 INFO Train Epoch 1, Batch 10000 - 11000: RMSE = 0.8576305508613586
2018-04-09 14:47:54,574 INFO Train Epoch 1, Batch 11000 - 12000: RMSE = 0.9172707796096802
2018-04-09 14:48:05,731 INFO Train Epoch 1, Batch 12000 - 13000: RMSE = 0.8413402438163757
2018-04-09 14:48:16,955 INFO Train Epoch 1, Batch 13000 - 14000: RMSE = 0.8512845635414124
2018-04-09 14:48:28,185 INFO Train Epoch 1, Batch 14000 - 15000: RMSE = 0.8601188659667969
2018-04-09 14:48:39,521 INFO Train Epoch 1, Batch 15000 - 16000: RMSE = 0.8569360375404358
2018-04-09 14:48:50,703 INFO Train Epoch 1, Batch 16000 - 17000: RMSE = 0.8764670491218567
2018-04-09 14:49:01,886 INFO Train Epoch 1, Batch 17000 - 18000: RMSE = 0.8731133937835693
2018-04-09 14:49:13,027 INFO Train Epoch 1, Batch 18000 - 19000: RMSE = 0.8711641430854797
2018-04-09 14:49:24,196 INFO Train Epoch 1, Batch 19000 - 20000: RMSE = 0.878939688205719
2018-04-09 14:49:35,575 INFO Train Epoch 1, Batch 20000 - 21000: RMSE = 0.8682972192764282
2018-04-09 14:49:46,738 INFO Train Epoch 1, Batch 21000 - 22000: RMSE = 0.8690561652183533
2018-04-09 14:49:57,918 INFO Train Epoch 1, Batch 22000 - 23000: RMSE = 0.8748928904533386
2018-04-09 14:50:09,150 INFO Train Epoch 1, Batch 23000 - 24000: RMSE = 0.8822752833366394
2018-04-09 14:50:20,465 INFO Train Epoch 1, Batch 24000 - 25000: RMSE = 0.8604094386100769
2018-04-09 14:50:31,722 INFO Train Epoch 1, Batch 25000 - 26000: RMSE = 0.8568617105484009
2018-04-09 14:50:42,899 INFO Train Epoch 1, Batch 26000 - 27000: RMSE = 0.8809282183647156
2018-04-09 14:50:54,068 INFO Train Epoch 1, Batch 27000 - 28000: RMSE = 0.8620854616165161
2018-04-09 14:51:05,410 INFO Train Epoch 1, Batch 28000 - 29000: RMSE = 0.8526029586791992
2018-04-09 14:51:16,705 INFO Train Epoch 1, Batch 29000 - 30000: RMSE = 0.8757432103157043
2018-04-09 14:51:27,924 INFO Train Epoch 1, Batch 30000 - 31000: RMSE = 0.9041860103607178
2018-04-09 14:51:39,054 INFO Train Epoch 1, Batch 31000 - 32000: RMSE = 0.8436340093612671
2018-04-09 14:51:50,221 INFO Train Epoch 1, Batch 32000 - 33000: RMSE = 0.8429645299911499
2018-04-09 14:52:01,212 INFO Train Epoch 1, Batch 33000 - 34000: RMSE = 0.8903349041938782
2018-04-09 14:52:12,193 INFO Train Epoch 1, Batch 34000 - 35000: RMSE = 0.9030446410179138
2018-04-09 14:52:23,162 INFO Train Epoch 1, Batch 35000 - 36000: RMSE = 0.9254499673843384
2018-04-09 14:52:34,113 INFO Train Epoch 1, Batch 36000 - 37000: RMSE = 0.8764562010765076
2018-04-09 14:52:45,232 INFO Train Epoch 1, Batch 37000 - 38000: RMSE = 0.900097131729126
2018-04-09 14:52:56,244 INFO Train Epoch 1, Batch 38000 - 39000: RMSE = 0.9034938812255859
2018-04-09 14:53:07,193 INFO Train Epoch 1, Batch 39000 - 40000: RMSE = 0.9339525699615479
2018-04-09 14:53:18,177 INFO Train Epoch 1, Batch 40000 - 41000: RMSE = 0.9246844053268433
2018-04-09 14:53:29,137 INFO Train Epoch 1, Batch 41000 - 42000: RMSE = 0.9153063893318176
2018-04-09 14:53:40,129 INFO Train Epoch 1, Batch 42000 - 43000: RMSE = 0.9313425421714783
2018-04-09 14:53:51,099 INFO Train Epoch 1, Batch 43000 - 44000: RMSE = 0.9190099239349365
2018-04-09 14:54:02,090 INFO Train Epoch 1, Batch 44000 - 45000: RMSE = 0.9050788283348083
2018-04-09 14:54:13,061 INFO Train Epoch 1, Batch 45000 - 46000: RMSE = 0.899127721786499
2018-04-09 14:54:24,077 INFO Train Epoch 1, Batch 46000 - 47000: RMSE = 0.925398588180542
2018-04-09 14:54:35,068 INFO Train Epoch 1, Batch 47000 - 48000: RMSE = 0.8752192258834839
2018-04-09 14:54:45,959 INFO Train Epoch 1, Batch 48000 - 49000: RMSE = 0.8938738107681274
2018-04-09 14:54:56,948 INFO Train Epoch 1, Batch 49000 - 50000: RMSE = 0.9317998290061951
2018-04-09 14:55:08,044 INFO Train Epoch 1, Batch 50000 - 51000: RMSE = 0.9055268168449402
2018-04-09 14:55:19,062 INFO Train Epoch 1, Batch 51000 - 52000: RMSE = 0.9355299472808838
2018-04-09 14:55:30,026 INFO Train Epoch 1, Batch 52000 - 53000: RMSE = 0.9111974835395813
2018-04-09 14:55:41,029 INFO Train Epoch 1, Batch 53000 - 54000: RMSE = 0.930581271648407
2018-04-09 14:55:51,965 INFO Train Epoch 1, Batch 54000 - 55000: RMSE = 0.9205952286720276
2018-04-09 14:56:03,157 INFO Train Epoch 1, Batch 55000 - 56000: RMSE = 0.8945889472961426
