2018-05-08 11:28:21,143 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1_3/model_epoch14.ckpt
2018-05-08 11:56:48,340 INFO Train Epoch 1, Batch 41000 - 42000: RMSE = 0.8970250487327576
2018-05-08 11:56:58,564 INFO Train Epoch 1, Batch 42000 - 43000: RMSE = 0.8898678421974182
2018-05-08 11:57:08,770 INFO Train Epoch 1, Batch 43000 - 44000: RMSE = 0.8877110481262207
2018-05-08 11:57:19,128 INFO Train Epoch 1, Batch 44000 - 45000: RMSE = 0.8730631470680237
2018-05-08 11:57:29,333 INFO Train Epoch 1, Batch 45000 - 46000: RMSE = 0.8724460601806641
2018-05-08 11:57:39,482 INFO Train Epoch 1, Batch 46000 - 47000: RMSE = 0.9133833646774292
2018-05-08 11:57:49,673 INFO Train Epoch 1, Batch 47000 - 48000: RMSE = 0.8659446835517883
2018-05-08 11:57:59,810 INFO Train Epoch 1, Batch 48000 - 49000: RMSE = 0.8636802434921265
2018-05-08 11:58:10,239 INFO Train Epoch 1, Batch 49000 - 50000: RMSE = 0.9056020379066467
2018-05-08 11:58:20,472 INFO Train Epoch 1, Batch 50000 - 51000: RMSE = 0.8733153343200684
2018-05-08 11:58:30,672 INFO Train Epoch 1, Batch 51000 - 52000: RMSE = 0.8898912072181702
2018-05-08 11:58:40,834 INFO Train Epoch 1, Batch 52000 - 53000: RMSE = 0.8748972415924072
2018-05-08 11:58:51,264 INFO Train Epoch 1, Batch 53000 - 54000: RMSE = 0.9056368470191956
2018-05-08 11:59:01,460 INFO Train Epoch 1, Batch 54000 - 55000: RMSE = 0.8460506796836853
2018-05-08 11:59:11,733 INFO Train Epoch 1, Batch 55000 - 56000: RMSE = 0.8579760789871216
2018-05-08 11:59:22,085 INFO Train Epoch 1, Batch 56000 - 57000: RMSE = 0.8840099573135376
2018-05-08 11:59:32,324 INFO Train Epoch 1, Batch 57000 - 58000: RMSE = 0.8851264715194702
2018-05-08 11:59:42,488 INFO Train Epoch 1, Batch 58000 - 59000: RMSE = 0.8862608671188354
2018-05-08 11:59:52,485 INFO Train Epoch 1, Batch 59000 - 60000: RMSE = 0.9004826545715332
2018-05-08 12:00:02,419 INFO Train Epoch 1, Batch 60000 - 61000: RMSE = 0.9506844878196716
2018-05-08 12:00:12,503 INFO Train Epoch 1, Batch 61000 - 62000: RMSE = 0.9092862010002136
2018-05-08 12:00:22,525 INFO Train Epoch 1, Batch 62000 - 63000: RMSE = 0.9243711233139038
2018-05-08 12:00:32,483 INFO Train Epoch 1, Batch 63000 - 64000: RMSE = 0.909602701663971
2018-05-08 12:00:42,508 INFO Train Epoch 1, Batch 64000 - 65000: RMSE = 0.8933643102645874
2018-05-08 12:00:52,523 INFO Train Epoch 1, Batch 65000 - 66000: RMSE = 0.8924317955970764
2018-05-08 12:01:02,433 INFO Train Epoch 1, Batch 66000 - 67000: RMSE = 0.8832179307937622
2018-05-08 12:01:12,503 INFO Train Epoch 1, Batch 67000 - 68000: RMSE = 0.9240845441818237
2018-05-08 12:01:22,505 INFO Train Epoch 1, Batch 68000 - 69000: RMSE = 0.8608779311180115
2018-05-08 12:01:32,428 INFO Train Epoch 1, Batch 69000 - 70000: RMSE = 0.8976224064826965
2018-05-08 12:01:42,489 INFO Train Epoch 1, Batch 70000 - 71000: RMSE = 0.9203295707702637
2018-05-08 12:01:52,472 INFO Train Epoch 1, Batch 71000 - 72000: RMSE = 0.8979911208152771
2018-05-08 12:02:02,517 INFO Train Epoch 1, Batch 72000 - 73000: RMSE = 0.9029064178466797
2018-05-08 12:02:12,495 INFO Train Epoch 1, Batch 73000 - 74000: RMSE = 0.9245936274528503
2018-05-08 12:02:22,391 INFO Train Epoch 1, Batch 74000 - 75000: RMSE = 0.9183791875839233
2018-05-08 12:02:32,351 INFO Train Epoch 1, Batch 75000 - 76000: RMSE = 0.8821874856948853
2018-05-08 12:02:42,441 INFO Train Epoch 1, Batch 76000 - 77000: RMSE = 0.8637704849243164
2018-05-08 12:02:52,804 INFO Train Epoch 1, Batch 77000 - 78000: RMSE = 0.8231761455535889
2018-05-08 12:03:03,020 INFO Train Epoch 1, Batch 78000 - 79000: RMSE = 0.8313280344009399
2018-05-08 12:03:13,198 INFO Train Epoch 1, Batch 79000 - 80000: RMSE = 0.8355301022529602
2018-05-08 12:03:23,525 INFO Train Epoch 1, Batch 80000 - 81000: RMSE = 0.8305203914642334
2018-05-08 12:03:33,735 INFO Train Epoch 1, Batch 81000 - 82000: RMSE = 0.8335269093513489
2018-05-08 12:03:44,021 INFO Train Epoch 1, Batch 82000 - 83000: RMSE = 0.8541033864021301
2018-05-08 12:03:54,366 INFO Train Epoch 1, Batch 83000 - 84000: RMSE = 0.8175619840621948
2018-05-08 12:04:04,553 INFO Train Epoch 1, Batch 84000 - 85000: RMSE = 0.8404370546340942
2018-05-08 12:04:14,741 INFO Train Epoch 1, Batch 85000 - 86000: RMSE = 0.8520639538764954
2018-05-08 12:04:25,089 INFO Train Epoch 1, Batch 86000 - 87000: RMSE = 0.8320278525352478
2018-05-08 12:04:35,298 INFO Train Epoch 1, Batch 87000 - 88000: RMSE = 0.8744104504585266
2018-05-08 12:04:45,438 INFO Train Epoch 1, Batch 88000 - 89000: RMSE = 0.8147328495979309
2018-05-08 12:04:55,707 INFO Train Epoch 1, Batch 89000 - 90000: RMSE = 0.8503962159156799
2018-05-08 12:05:05,895 INFO Train Epoch 1, Batch 90000 - 91000: RMSE = 0.8859214186668396
2018-05-08 12:05:16,181 INFO Train Epoch 1, Batch 91000 - 92000: RMSE = 0.8276516199111938
2018-05-08 12:05:26,371 INFO Train Epoch 1, Batch 92000 - 93000: RMSE = 0.8231928944587708
2018-05-08 12:05:36,537 INFO Train Epoch 1, Batch 93000 - 94000: RMSE = 0.8321865200996399
