2018-04-06 12:10:44,080 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1/model_epoch49.ckpt
2018-04-06 12:38:16,626 INFO Train Epoch 0, Batch 80000 - 81000: RMSE = 0.8889248371124268
2018-04-06 12:38:26,973 INFO Train Epoch 0, Batch 81000 - 82000: RMSE = 0.8714044690132141
2018-04-06 12:38:37,207 INFO Train Epoch 0, Batch 82000 - 83000: RMSE = 0.893648624420166
2018-04-06 12:38:47,520 INFO Train Epoch 0, Batch 83000 - 84000: RMSE = 0.8690887093544006
2018-04-06 12:38:57,788 INFO Train Epoch 0, Batch 84000 - 85000: RMSE = 0.8856592178344727
2018-04-06 12:39:08,072 INFO Train Epoch 0, Batch 85000 - 86000: RMSE = 0.8934758901596069
2018-04-06 12:39:18,334 INFO Train Epoch 0, Batch 86000 - 87000: RMSE = 0.8881778120994568
2018-04-06 12:39:28,605 INFO Train Epoch 0, Batch 87000 - 88000: RMSE = 0.920637845993042
2018-04-06 12:39:38,832 INFO Train Epoch 0, Batch 88000 - 89000: RMSE = 0.8714497685432434
2018-04-06 12:39:49,090 INFO Train Epoch 0, Batch 89000 - 90000: RMSE = 0.888446569442749
2018-04-06 12:39:59,443 INFO Train Epoch 0, Batch 90000 - 91000: RMSE = 0.9415109753608704
2018-04-06 12:40:09,678 INFO Train Epoch 0, Batch 91000 - 92000: RMSE = 0.8778759837150574
2018-04-06 12:40:19,891 INFO Train Epoch 0, Batch 92000 - 93000: RMSE = 0.8921623229980469
2018-04-06 12:40:30,138 INFO Train Epoch 0, Batch 93000 - 94000: RMSE = 0.8778912425041199
2018-04-06 12:40:40,387 INFO Train Epoch 0, Batch 94000 - 95000: RMSE = 0.9154692888259888
2018-04-06 12:40:50,759 INFO Train Epoch 0, Batch 95000 - 96000: RMSE = 0.879424512386322
2018-04-06 12:41:01,031 INFO Train Epoch 0, Batch 96000 - 97000: RMSE = 1.0016475915908813
2018-04-06 12:41:11,275 INFO Train Epoch 0, Batch 97000 - 98000: RMSE = 0.887362539768219
2018-04-06 12:41:21,539 INFO Train Epoch 0, Batch 98000 - 99000: RMSE = 0.9384217858314514
2018-04-06 12:41:31,889 INFO Train Epoch 0, Batch 99000 - 100000: RMSE = 0.9492491483688354
2018-04-06 12:41:42,163 INFO Train Epoch 0, Batch 100000 - 101000: RMSE = 0.9222080111503601
2018-04-06 12:41:52,398 INFO Train Epoch 0, Batch 101000 - 102000: RMSE = 0.9307994842529297
2018-04-06 12:42:02,711 INFO Train Epoch 0, Batch 102000 - 103000: RMSE = 0.8942683339118958
2018-04-06 12:42:12,953 INFO Train Epoch 0, Batch 103000 - 104000: RMSE = 0.915935754776001
2018-04-06 12:42:23,290 INFO Train Epoch 0, Batch 104000 - 105000: RMSE = 0.9064832925796509
2018-04-06 12:42:33,576 INFO Train Epoch 0, Batch 105000 - 106000: RMSE = 0.9360212087631226
2018-04-06 12:42:43,825 INFO Train Epoch 0, Batch 106000 - 107000: RMSE = 0.8859245181083679
2018-04-06 12:42:54,018 INFO Train Epoch 0, Batch 107000 - 108000: RMSE = 0.955963134765625
2018-04-06 12:43:04,282 INFO Train Epoch 0, Batch 108000 - 109000: RMSE = 0.8961370587348938
2018-04-06 12:43:14,451 INFO Train Epoch 0, Batch 109000 - 110000: RMSE = 0.9333996772766113
2018-04-06 12:43:24,542 INFO Train Epoch 0, Batch 110000 - 111000: RMSE = 0.8744603991508484
2018-04-06 12:43:34,721 INFO Train Epoch 0, Batch 111000 - 112000: RMSE = 0.9640045762062073
2018-04-06 12:43:44,789 INFO Train Epoch 0, Batch 112000 - 113000: RMSE = 0.8970491886138916
2018-04-06 12:43:54,892 INFO Train Epoch 0, Batch 113000 - 114000: RMSE = 0.9239464998245239
2018-04-06 12:44:05,012 INFO Train Epoch 0, Batch 114000 - 115000: RMSE = 0.9471247792243958
2018-04-06 12:44:15,095 INFO Train Epoch 0, Batch 115000 - 116000: RMSE = 0.8906876444816589
2018-04-06 12:44:25,204 INFO Train Epoch 0, Batch 116000 - 117000: RMSE = 0.9482719898223877
2018-04-06 12:44:35,413 INFO Train Epoch 0, Batch 117000 - 118000: RMSE = 0.8790700435638428
2018-04-06 12:44:45,520 INFO Train Epoch 0, Batch 118000 - 119000: RMSE = 0.9011992812156677
2018-04-06 12:44:55,656 INFO Train Epoch 0, Batch 119000 - 120000: RMSE = 0.9252613186836243
2018-04-06 12:45:05,672 INFO Train Epoch 0, Batch 120000 - 121000: RMSE = 0.9107760190963745
2018-04-06 12:45:15,786 INFO Train Epoch 0, Batch 121000 - 122000: RMSE = 0.9228525757789612
2018-04-06 12:45:20,282 INFO Train Epoch 0, Batch 122000 - 122358: RMSE = 0.9724595546722412
2018-04-06 12:45:29,110 INFO Eval Epoch 0, Batch 0 - 1000: RMSE = 0.9671400117077639
2018-04-06 12:45:39,581 INFO Train Epoch 1, Batch 0 - 1000: RMSE = 0.9082135558128357
2018-04-06 12:45:50,094 INFO Train Epoch 1, Batch 1000 - 2000: RMSE = 0.9290091395378113
2018-04-06 12:46:00,632 INFO Train Epoch 1, Batch 2000 - 3000: RMSE = 0.893370509147644
2018-04-06 12:46:11,189 INFO Train Epoch 1, Batch 3000 - 4000: RMSE = 0.9061475396156311
2018-04-06 12:46:21,656 INFO Train Epoch 1, Batch 4000 - 5000: RMSE = 0.8723294734954834
2018-04-06 12:46:32,190 INFO Train Epoch 1, Batch 5000 - 6000: RMSE = 0.8671821355819702
2018-04-06 12:46:42,710 INFO Train Epoch 1, Batch 6000 - 7000: RMSE = 0.8719642758369446
2018-04-06 12:46:53,134 INFO Train Epoch 1, Batch 7000 - 8000: RMSE = 0.8849613070487976
2018-04-06 12:47:03,681 INFO Train Epoch 1, Batch 8000 - 9000: RMSE = 0.9135818481445312
2018-04-06 12:47:14,178 INFO Train Epoch 1, Batch 9000 - 10000: RMSE = 0.8714475631713867
2018-04-06 12:47:24,607 INFO Train Epoch 1, Batch 10000 - 11000: RMSE = 0.8716644644737244
2018-04-06 12:47:35,079 INFO Train Epoch 1, Batch 11000 - 12000: RMSE = 0.9218668937683105
2018-04-06 12:47:45,561 INFO Train Epoch 1, Batch 12000 - 13000: RMSE = 0.8429626822471619
2018-04-06 12:47:56,050 INFO Train Epoch 1, Batch 13000 - 14000: RMSE = 0.8745880126953125
2018-04-06 12:48:06,557 INFO Train Epoch 1, Batch 14000 - 15000: RMSE = 0.8673365712165833
2018-04-06 12:48:17,058 INFO Train Epoch 1, Batch 15000 - 16000: RMSE = 0.8726995587348938
2018-04-06 12:48:27,520 INFO Train Epoch 1, Batch 16000 - 17000: RMSE = 0.8651313185691833
2018-04-06 12:48:38,031 INFO Train Epoch 1, Batch 17000 - 18000: RMSE = 0.877926230430603
2018-04-06 12:48:48,435 INFO Train Epoch 1, Batch 18000 - 19000: RMSE = 0.8816750645637512
2018-04-06 12:48:58,849 INFO Train Epoch 1, Batch 19000 - 20000: RMSE = 0.8984383344650269
2018-04-06 12:49:09,352 INFO Train Epoch 1, Batch 20000 - 21000: RMSE = 0.8820568919181824
2018-04-06 12:49:19,925 INFO Train Epoch 1, Batch 21000 - 22000: RMSE = 0.882166862487793
2018-04-06 12:49:30,390 INFO Train Epoch 1, Batch 22000 - 23000: RMSE = 0.8673380017280579
2018-04-06 12:49:40,835 INFO Train Epoch 1, Batch 23000 - 24000: RMSE = 0.8735144138336182
2018-04-06 12:49:51,284 INFO Train Epoch 1, Batch 24000 - 25000: RMSE = 0.8775995969772339
2018-04-06 12:50:01,797 INFO Train Epoch 1, Batch 25000 - 26000: RMSE = 0.8743142485618591
2018-04-06 12:50:12,317 INFO Train Epoch 1, Batch 26000 - 27000: RMSE = 0.897453784942627
2018-04-06 12:50:22,774 INFO Train Epoch 1, Batch 27000 - 28000: RMSE = 0.9020774960517883
2018-04-06 12:50:33,269 INFO Train Epoch 1, Batch 28000 - 29000: RMSE = 0.8572525978088379
2018-04-06 12:50:43,790 INFO Train Epoch 1, Batch 29000 - 30000: RMSE = 0.8795893788337708
2018-04-06 12:50:54,355 INFO Train Epoch 1, Batch 30000 - 31000: RMSE = 0.9153383374214172
2018-04-06 12:51:04,752 INFO Train Epoch 1, Batch 31000 - 32000: RMSE = 0.8561568856239319
2018-04-06 12:51:15,122 INFO Train Epoch 1, Batch 32000 - 33000: RMSE = 0.8463696837425232
2018-04-06 12:51:25,379 INFO Train Epoch 1, Batch 33000 - 34000: RMSE = 0.9106047749519348
2018-04-06 12:51:35,584 INFO Train Epoch 1, Batch 34000 - 35000: RMSE = 0.9337707757949829
2018-04-06 12:51:45,914 INFO Train Epoch 1, Batch 35000 - 36000: RMSE = 0.9325518012046814
2018-04-06 12:51:56,131 INFO Train Epoch 1, Batch 36000 - 37000: RMSE = 0.8997811675071716
2018-04-06 12:52:06,402 INFO Train Epoch 1, Batch 37000 - 38000: RMSE = 0.911976158618927
2018-04-06 12:52:16,740 INFO Train Epoch 1, Batch 38000 - 39000: RMSE = 0.9343289732933044
2018-04-06 12:52:27,090 INFO Train Epoch 1, Batch 39000 - 40000: RMSE = 0.9377949833869934
2018-04-06 12:52:37,375 INFO Train Epoch 1, Batch 40000 - 41000: RMSE = 0.9281195998191833
2018-04-06 12:52:47,611 INFO Train Epoch 1, Batch 41000 - 42000: RMSE = 0.9353457689285278
2018-04-06 12:52:57,870 INFO Train Epoch 1, Batch 42000 - 43000: RMSE = 0.94562166929245
2018-04-06 12:53:08,147 INFO Train Epoch 1, Batch 43000 - 44000: RMSE = 0.9375417828559875
2018-04-06 12:53:18,543 INFO Train Epoch 1, Batch 44000 - 45000: RMSE = 0.9354469776153564
2018-04-06 12:53:28,836 INFO Train Epoch 1, Batch 45000 - 46000: RMSE = 0.9178556203842163
2018-04-06 12:53:39,046 INFO Train Epoch 1, Batch 46000 - 47000: RMSE = 0.9569706916809082
2018-04-06 12:53:49,328 INFO Train Epoch 1, Batch 47000 - 48000: RMSE = 0.9036909937858582
2018-04-06 12:53:59,624 INFO Train Epoch 1, Batch 48000 - 49000: RMSE = 0.901935338973999
2018-04-06 12:54:09,892 INFO Train Epoch 1, Batch 49000 - 50000: RMSE = 0.9450084567070007
2018-04-06 12:54:20,195 INFO Train Epoch 1, Batch 50000 - 51000: RMSE = 0.9143984317779541
2018-04-06 12:54:30,471 INFO Train Epoch 1, Batch 51000 - 52000: RMSE = 0.9454382061958313
2018-04-06 12:54:40,684 INFO Train Epoch 1, Batch 52000 - 53000: RMSE = 0.9099724292755127
2018-04-06 12:54:51,045 INFO Train Epoch 1, Batch 53000 - 54000: RMSE = 0.9493283033370972
2018-04-06 12:55:01,284 INFO Train Epoch 1, Batch 54000 - 55000: RMSE = 0.8975450992584229
2018-04-06 12:55:11,618 INFO Train Epoch 1, Batch 55000 - 56000: RMSE = 0.9022301435470581
2018-04-06 12:55:21,898 INFO Train Epoch 1, Batch 56000 - 57000: RMSE = 0.9281749129295349
2018-04-06 12:55:32,328 INFO Train Epoch 1, Batch 57000 - 58000: RMSE = 0.9352700114250183
2018-04-06 12:55:42,557 INFO Train Epoch 1, Batch 58000 - 59000: RMSE = 0.9286107420921326
2018-04-06 12:55:52,595 INFO Train Epoch 1, Batch 59000 - 60000: RMSE = 0.9664792418479919
2018-04-06 12:56:02,588 INFO Train Epoch 1, Batch 60000 - 61000: RMSE = 1.0044013261795044
2018-04-06 12:56:12,655 INFO Train Epoch 1, Batch 61000 - 62000: RMSE = 0.9922636151313782
2018-04-06 12:56:22,774 INFO Train Epoch 1, Batch 62000 - 63000: RMSE = 0.9668195247650146
2018-04-06 12:56:32,738 INFO Train Epoch 1, Batch 63000 - 64000: RMSE = 0.9834900498390198
2018-04-06 12:56:42,771 INFO Train Epoch 1, Batch 64000 - 65000: RMSE = 0.9430502653121948
2018-04-06 12:56:52,855 INFO Train Epoch 1, Batch 65000 - 66000: RMSE = 0.950670063495636
2018-04-06 12:57:02,956 INFO Train Epoch 1, Batch 66000 - 67000: RMSE = 0.9276386499404907
2018-04-06 12:57:12,907 INFO Train Epoch 1, Batch 67000 - 68000: RMSE = 0.9786686301231384
2018-04-06 12:57:22,921 INFO Train Epoch 1, Batch 68000 - 69000: RMSE = 0.9005517363548279
2018-04-06 12:57:32,898 INFO Train Epoch 1, Batch 69000 - 70000: RMSE = 0.9560240507125854
2018-04-06 12:57:42,898 INFO Train Epoch 1, Batch 70000 - 71000: RMSE = 0.9773285984992981
2018-04-06 12:57:52,998 INFO Train Epoch 1, Batch 71000 - 72000: RMSE = 0.9484823942184448
2018-04-06 12:58:03,032 INFO Train Epoch 1, Batch 72000 - 73000: RMSE = 0.9502496719360352
2018-04-06 12:58:13,041 INFO Train Epoch 1, Batch 73000 - 74000: RMSE = 0.9783626794815063
2018-04-06 12:58:22,984 INFO Train Epoch 1, Batch 74000 - 75000: RMSE = 0.9784851670265198
2018-04-06 12:58:33,017 INFO Train Epoch 1, Batch 75000 - 76000: RMSE = 0.9336757659912109
2018-04-06 12:58:43,269 INFO Train Epoch 1, Batch 76000 - 77000: RMSE = 0.9043921232223511
2018-04-06 12:58:53,498 INFO Train Epoch 1, Batch 77000 - 78000: RMSE = 0.8799809813499451
2018-04-06 12:59:03,690 INFO Train Epoch 1, Batch 78000 - 79000: RMSE = 0.8895242810249329
2018-04-06 12:59:13,928 INFO Train Epoch 1, Batch 79000 - 80000: RMSE = 0.8948599696159363
2018-04-06 12:59:24,297 INFO Train Epoch 1, Batch 80000 - 81000: RMSE = 0.9024033546447754
2018-04-06 12:59:34,540 INFO Train Epoch 1, Batch 81000 - 82000: RMSE = 0.8781173229217529
2018-04-06 12:59:44,754 INFO Train Epoch 1, Batch 82000 - 83000: RMSE = 0.9124600291252136
