2018-04-11 10:46:04,629 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1/model_epoch49.ckpt
2018-04-11 10:52:22,008 INFO Train Epoch 1, Batch 35000 - 36000: RMSE = 1.070248007774353
2018-04-11 10:52:24,317 INFO Train Epoch 1, Batch 36000 - 37000: RMSE = 1.0172994136810303
2018-04-11 10:52:26,639 INFO Train Epoch 1, Batch 37000 - 38000: RMSE = 1.0202550888061523
2018-04-11 10:52:28,952 INFO Train Epoch 1, Batch 38000 - 39000: RMSE = 1.0620613098144531
2018-04-11 10:52:31,269 INFO Train Epoch 1, Batch 39000 - 40000: RMSE = 1.0799304246902466
2018-04-11 10:52:33,584 INFO Train Epoch 1, Batch 40000 - 41000: RMSE = 1.0977239608764648
2018-04-11 10:52:35,906 INFO Train Epoch 1, Batch 41000 - 42000: RMSE = 1.0642764568328857
2018-04-11 10:52:38,221 INFO Train Epoch 1, Batch 42000 - 43000: RMSE = 1.0840778350830078
2018-04-11 10:52:40,526 INFO Train Epoch 1, Batch 43000 - 44000: RMSE = 1.061034083366394
2018-04-11 10:52:42,850 INFO Train Epoch 1, Batch 44000 - 45000: RMSE = 1.0629191398620605
2018-04-11 10:52:45,175 INFO Train Epoch 1, Batch 45000 - 46000: RMSE = 1.049422025680542
2018-04-11 10:52:47,473 INFO Train Epoch 1, Batch 46000 - 47000: RMSE = 1.0435601472854614
2018-04-11 10:52:49,777 INFO Train Epoch 1, Batch 47000 - 48000: RMSE = 1.036099910736084
2018-04-11 10:52:52,093 INFO Train Epoch 1, Batch 48000 - 49000: RMSE = 1.0415834188461304
2018-04-11 10:52:54,410 INFO Train Epoch 1, Batch 49000 - 50000: RMSE = 1.083207130432129
2018-04-11 10:52:56,706 INFO Train Epoch 1, Batch 50000 - 51000: RMSE = 1.0542078018188477
2018-04-11 10:52:59,011 INFO Train Epoch 1, Batch 51000 - 52000: RMSE = 1.1000871658325195
2018-04-11 10:53:01,318 INFO Train Epoch 1, Batch 52000 - 53000: RMSE = 1.0466870069503784
2018-04-11 10:53:03,625 INFO Train Epoch 1, Batch 53000 - 54000: RMSE = 1.0748528242111206
2018-04-11 10:53:05,942 INFO Train Epoch 1, Batch 54000 - 55000: RMSE = 1.049666404724121
2018-04-11 10:53:08,260 INFO Train Epoch 1, Batch 55000 - 56000: RMSE = 1.0329163074493408
2018-04-11 10:53:10,570 INFO Train Epoch 1, Batch 56000 - 57000: RMSE = 1.0810940265655518
2018-04-11 10:53:12,885 INFO Train Epoch 1, Batch 57000 - 58000: RMSE = 1.051224708557129
2018-04-11 10:53:15,197 INFO Train Epoch 1, Batch 58000 - 59000: RMSE = 1.0806057453155518
2018-04-11 10:53:17,512 INFO Train Epoch 1, Batch 59000 - 60000: RMSE = 1.08733069896698
2018-04-11 10:53:19,820 INFO Train Epoch 1, Batch 60000 - 61000: RMSE = 1.1327286958694458
2018-04-11 10:53:22,137 INFO Train Epoch 1, Batch 61000 - 62000: RMSE = 1.0916472673416138
2018-04-11 10:53:24,462 INFO Train Epoch 1, Batch 62000 - 63000: RMSE = 1.125779390335083
2018-04-11 10:53:26,786 INFO Train Epoch 1, Batch 63000 - 64000: RMSE = 1.132408857345581
2018-04-11 10:53:29,104 INFO Train Epoch 1, Batch 64000 - 65000: RMSE = 1.1264803409576416
2018-04-11 10:53:31,440 INFO Train Epoch 1, Batch 65000 - 66000: RMSE = 1.1120285987854004
2018-04-11 10:53:33,760 INFO Train Epoch 1, Batch 66000 - 67000: RMSE = 1.0983630418777466
2018-04-11 10:53:36,072 INFO Train Epoch 1, Batch 67000 - 68000: RMSE = 1.118772029876709
2018-04-11 10:53:38,388 INFO Train Epoch 1, Batch 68000 - 69000: RMSE = 1.0848535299301147
2018-04-11 10:53:40,718 INFO Train Epoch 1, Batch 69000 - 70000: RMSE = 1.1082638502120972
2018-04-11 10:53:43,032 INFO Train Epoch 1, Batch 70000 - 71000: RMSE = 1.1377158164978027
2018-04-11 10:53:45,349 INFO Train Epoch 1, Batch 71000 - 72000: RMSE = 1.077000617980957
2018-04-11 10:53:47,678 INFO Train Epoch 1, Batch 72000 - 73000: RMSE = 1.114518642425537
2018-04-11 10:53:49,979 INFO Train Epoch 1, Batch 73000 - 74000: RMSE = 1.1440496444702148
2018-04-11 10:53:52,277 INFO Train Epoch 1, Batch 74000 - 75000: RMSE = 1.0990376472473145
2018-04-11 10:53:54,581 INFO Train Epoch 1, Batch 75000 - 76000: RMSE = 1.07660710811615
2018-04-11 10:53:56,906 INFO Train Epoch 1, Batch 76000 - 77000: RMSE = 1.0277092456817627
2018-04-11 10:53:59,233 INFO Train Epoch 1, Batch 77000 - 78000: RMSE = 1.014735460281372
2018-04-11 10:54:01,538 INFO Train Epoch 1, Batch 78000 - 79000: RMSE = 1.0098825693130493
2018-04-11 10:54:03,862 INFO Train Epoch 1, Batch 79000 - 80000: RMSE = 1.019856572151184
2018-04-11 10:54:06,186 INFO Train Epoch 1, Batch 80000 - 81000: RMSE = 1.0136897563934326
2018-04-11 10:54:08,502 INFO Train Epoch 1, Batch 81000 - 82000: RMSE = 0.99924635887146
2018-04-11 10:54:10,811 INFO Train Epoch 1, Batch 82000 - 83000: RMSE = 1.001711130142212
2018-04-11 10:54:13,140 INFO Train Epoch 1, Batch 83000 - 84000: RMSE = 1.0206611156463623
2018-04-11 10:54:15,474 INFO Train Epoch 1, Batch 84000 - 85000: RMSE = 1.031058669090271
2018-04-11 10:54:17,769 INFO Train Epoch 1, Batch 85000 - 86000: RMSE = 1.0105868577957153
2018-04-11 10:54:20,070 INFO Train Epoch 1, Batch 86000 - 87000: RMSE = 1.0259956121444702
2018-04-11 10:54:22,390 INFO Train Epoch 1, Batch 87000 - 88000: RMSE = 1.0296247005462646
2018-04-11 10:54:24,710 INFO Train Epoch 1, Batch 88000 - 89000: RMSE = 1.0031644105911255
2018-04-11 10:54:27,021 INFO Train Epoch 1, Batch 89000 - 90000: RMSE = 1.0347726345062256
