2018-05-11 06:31:55,194 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1_5/model_epoch24.ckpt
2018-05-11 06:33:54,088 INFO Train Epoch 0, Batch 47500 - 47750: RMSE = 0.9702922105789185
2018-05-11 06:33:54,686 INFO Train Epoch 0, Batch 47750 - 48000: RMSE = 0.83348548412323
2018-05-11 06:33:55,336 INFO Train Epoch 0, Batch 48000 - 48250: RMSE = 0.9383394122123718
2018-05-11 06:33:55,994 INFO Train Epoch 0, Batch 48250 - 48500: RMSE = 0.9632109999656677
2018-05-11 06:33:56,588 INFO Train Epoch 0, Batch 48500 - 48750: RMSE = 0.8470902442932129
2018-05-11 06:33:57,200 INFO Train Epoch 0, Batch 48750 - 49000: RMSE = 0.9455746412277222
2018-05-11 06:33:57,801 INFO Train Epoch 0, Batch 49000 - 49250: RMSE = 0.8672214150428772
2018-05-11 06:33:58,401 INFO Train Epoch 0, Batch 49250 - 49500: RMSE = 0.941493034362793
2018-05-11 06:33:58,994 INFO Train Epoch 0, Batch 49500 - 49750: RMSE = 0.9793362617492676
2018-05-11 06:33:59,595 INFO Train Epoch 0, Batch 49750 - 50000: RMSE = 0.9831579923629761
2018-05-11 06:34:00,214 INFO Train Epoch 0, Batch 50000 - 50250: RMSE = 0.9055603742599487
2018-05-11 06:34:00,819 INFO Train Epoch 0, Batch 50250 - 50500: RMSE = 0.9051486849784851
2018-05-11 06:34:01,420 INFO Train Epoch 0, Batch 50500 - 50750: RMSE = 0.9961177110671997
2018-05-11 06:34:02,018 INFO Train Epoch 0, Batch 50750 - 51000: RMSE = 0.9119667410850525
2018-05-11 06:34:02,617 INFO Train Epoch 0, Batch 51000 - 51250: RMSE = 0.9067240357398987
2018-05-11 06:34:03,223 INFO Train Epoch 0, Batch 51250 - 51500: RMSE = 0.9193450212478638
2018-05-11 06:34:03,827 INFO Train Epoch 0, Batch 51500 - 51750: RMSE = 0.9889912009239197
2018-05-11 06:34:04,428 INFO Train Epoch 0, Batch 51750 - 52000: RMSE = 0.9089608192443848
2018-05-11 06:34:05,024 INFO Train Epoch 0, Batch 52000 - 52250: RMSE = 0.9121014475822449
2018-05-11 06:34:05,624 INFO Train Epoch 0, Batch 52250 - 52500: RMSE = 0.9313132762908936
2018-05-11 06:34:06,225 INFO Train Epoch 0, Batch 52500 - 52750: RMSE = 0.9023538827896118
2018-05-11 06:34:06,829 INFO Train Epoch 0, Batch 52750 - 53000: RMSE = 0.9222168326377869
2018-05-11 06:34:07,430 INFO Train Epoch 0, Batch 53000 - 53250: RMSE = 0.8987865447998047
2018-05-11 06:34:08,079 INFO Train Epoch 0, Batch 53250 - 53500: RMSE = 0.9539543390274048
2018-05-11 06:34:08,685 INFO Train Epoch 0, Batch 53500 - 53750: RMSE = 0.8897912502288818
2018-05-11 06:34:09,282 INFO Train Epoch 0, Batch 53750 - 54000: RMSE = 0.9790017604827881
2018-05-11 06:34:09,882 INFO Train Epoch 0, Batch 54000 - 54250: RMSE = 0.8836672306060791
2018-05-11 06:34:10,481 INFO Train Epoch 0, Batch 54250 - 54500: RMSE = 0.9372881054878235
2018-05-11 06:34:11,079 INFO Train Epoch 0, Batch 54500 - 54750: RMSE = 0.9673293232917786
2018-05-11 06:34:11,674 INFO Train Epoch 0, Batch 54750 - 55000: RMSE = 0.8766388297080994
2018-05-11 06:34:12,270 INFO Train Epoch 0, Batch 55000 - 55250: RMSE = 0.8854151964187622
2018-05-11 06:34:12,875 INFO Train Epoch 0, Batch 55250 - 55500: RMSE = 0.8414050340652466
2018-05-11 06:34:13,532 INFO Train Epoch 0, Batch 55500 - 55750: RMSE = 0.9640034437179565
2018-05-11 06:34:14,134 INFO Train Epoch 0, Batch 55750 - 56000: RMSE = 0.853630781173706
2018-05-11 06:34:14,734 INFO Train Epoch 0, Batch 56000 - 56250: RMSE = 0.9467288851737976
2018-05-11 06:34:15,341 INFO Train Epoch 0, Batch 56250 - 56500: RMSE = 0.9193804264068604
2018-05-11 06:34:15,954 INFO Train Epoch 0, Batch 56500 - 56750: RMSE = 0.9658768773078918
2018-05-11 06:34:16,561 INFO Train Epoch 0, Batch 56750 - 57000: RMSE = 0.9202916026115417
2018-05-11 06:34:17,160 INFO Train Epoch 0, Batch 57000 - 57250: RMSE = 0.9347721338272095
2018-05-11 06:34:17,757 INFO Train Epoch 0, Batch 57250 - 57500: RMSE = 0.9262143969535828
2018-05-11 06:34:18,370 INFO Train Epoch 0, Batch 57500 - 57750: RMSE = 0.9023166298866272
2018-05-11 06:34:18,975 INFO Train Epoch 0, Batch 57750 - 58000: RMSE = 0.9668129682540894
2018-05-11 06:34:19,576 INFO Train Epoch 0, Batch 58000 - 58250: RMSE = 0.9086306095123291
2018-05-11 06:34:20,179 INFO Train Epoch 0, Batch 58250 - 58500: RMSE = 0.9590803384780884
2018-05-11 06:34:20,775 INFO Train Epoch 0, Batch 58500 - 58750: RMSE = 0.9800884127616882
2018-05-11 06:34:21,377 INFO Train Epoch 0, Batch 58750 - 59000: RMSE = 0.9249346852302551
2018-05-11 06:34:21,980 INFO Train Epoch 0, Batch 59000 - 59250: RMSE = 0.9804700613021851
2018-05-11 06:34:22,583 INFO Train Epoch 0, Batch 59250 - 59500: RMSE = 0.9073298573493958
2018-05-11 06:34:23,184 INFO Train Epoch 0, Batch 59500 - 59750: RMSE = 0.9244030117988586
